SourceGENES,TargetGENES,Interaction,Edges
g54,g34,0.0864646794095853,repression
g8,g0,0.0862692307183415,activation
g39,g37,0.0862395072326024,activation
g56,g37,0.0859595359719459,repression
g27,g37,0.085726208760847,activation
g2,g51,0.0853447766451394,repression
g34,g52,0.0852933362459403,repression
g56,g54,0.0850279187190361,repression
g39,g53,0.0848699666937749,repression
g15,g48,0.0847663544852877,repression
g40,g59,0.0847169412135159,activation
g19,g56,0.0846121567074651,repression
g8,g53,0.0839819321332129,repression
g9,g34,0.0837398257070898,repression
g40,g20,0.0836722227261146,repression
g9,g61,0.083564779768445,repression
g6,g26,0.0832574193510634,activation
g8,g29,0.0829706043436168,repression
g2,g39,0.0829648857432805,activation
g61,g39,0.0829110741560277,activation
g6,g16,0.0827422383189879,repression
g49,g9,0.0827375825341708,activation
g54,g42,0.082501001682559,repression
g48,g34,0.0824630614453876,repression
g58,g35,0.0824140464652501,activation
g9,g30,0.0823517010578082,repression
g15,g24,0.0822078808807916,activation
g27,g10,0.0819915993188042,repression
g34,g44,0.0818072052102329,activation
g45,g30,0.081790407987909,activation
g9,g43,0.081771811820272,repression
g19,g39,0.0813320286518499,repression
g58,g33,0.0808203570248801,activation
g19,g63,0.0806632496366472,activation
g3,g30,0.0805395159964957,activation
g5,g53,0.0803884786506806,activation
g58,g45,0.0801481391051274,repression
g45,g52,0.079677155950573,activation
g1,g11,0.0794902502900742,activation
g1,g44,0.0792177882932674,activation
g53,g16,0.0791646972582323,repression
g26,g3,0.0790781308448898,repression
g8,g51,0.0789922619253601,repression
g8,g5,0.0789313512147817,activation
g61,g12,0.0788862529332995,repression
g31,g14,0.0788775589890403,repression
g25,g16,0.0784806932129861,repression
g19,g61,0.0784481742066149,repression
g61,g26,0.0784437084748517,activation
g40,g63,0.0784309447551798,activation
g3,g58,0.0781499595263109,repression
g1,g25,0.0780452252760616,repression
g56,g29,0.0779914850403013,activation
g2,g61,0.0777149010384435,activation
g56,g58,0.0776853128249879,activation
g9,g50,0.0773529676053711,repression
g31,g59,0.0768645840360493,activation
g58,g60,0.0768371123318216,repression
g56,g63,0.0765650172625212,activation
g25,g28,0.0764475799178682,repression
g6,g39,0.0763977956456914,activation
g27,g0,0.0763944689003233,repression
g40,g18,0.0763644394952569,activation
g9,g48,0.0763277189104742,repression
g25,g0,0.0762366551620643,activation
g31,g41,0.0761952639961629,repression
g53,g3,0.0761678828262939,activation
g56,g61,0.0759155098699485,repression
g46,g12,0.0758412512292441,activation
g19,g3,0.0758102391781094,activation
g49,g62,0.075585344781004,activation
g56,g32,0.0755187611603371,activation
g5,g54,0.0755142507237029,activation
g54,g25,0.074577780982675,repression
g16,g9,0.0743195291590641,activation
g53,g56,0.0742078604127092,activation
g27,g35,0.0740300981906133,repression
g5,g35,0.0739291632477424,repression
g61,g48,0.0738529483461769,repression
g56,g30,0.0737361479753793,activation
g46,g14,0.0736897499725334,activation
g50,g19,0.0735409264769301,repression
g49,g8,0.0727013460859907,repression
g16,g54,0.07263399665547,repression
g26,g39,0.0723385735735111,activation
g48,g62,0.0723340314439473,activation
g58,g6,0.0722876751858351,activation
g30,g27,0.0720532075927968,repression
g58,g39,0.0718281263329668,repression
g19,g51,0.0717569097925939,repression
g58,g34,0.071688240430235,repression
g15,g43,0.0716614456170364,repression
g8,g24,0.0716456104452317,activation
g53,g30,0.0715599376620407,repression
g25,g64,0.0710667599975735,activation
g8,g28,0.0709234338275538,repression
g30,g29,0.0705201549414404,activation
g27,g23,0.0702402230670286,repression
g60,g52,0.069766834007304,repression
g6,g15,0.0696202342601427,repression
g58,g2,0.0695923576447514,activation
g51,g60,0.0695573942762441,repression
g1,g47,0.0692801557608494,repression
g5,g60,0.069133954716147,repression
g27,g47,0.0691069454809547,activation
g16,g55,0.0690197218404297,repression
g15,g30,0.0690037547007687,activation
g2,g10,0.0686075948415725,activation
g58,g30,0.0684792199859243,repression
g16,g58,0.0684197194491952,repression
g15,g2,0.0680337028234861,activation
g40,g43,0.0680299036312889,activation
g2,g2,0.067891467171247,activation
g27,g12,0.0675751595903252,repression
g50,g30,0.0674848471795786,activation
g2,g36,0.0671996271959721,activation
g5,g24,0.0671261502397163,repression
g9,g7,0.0669345738660841,repression
g45,g2,0.0667171211428507,activation
g50,g2,0.066647444853538,repression
g40,g41,0.0664511964433424,activation
g15,g5,0.0664280599768064,activation
g26,g37,0.0662867056217502,repression
g53,g6,0.0658759593362565,repression
g19,g50,0.0657599674222467,repression
g27,g34,0.0656359745839218,activation
g48,g59,0.0655655193042391,activation
g27,g5,0.0655080089615343,repression
g56,g15,0.0654656158397369,repression
g31,g13,0.065411972303184,activation
g6,g25,0.0652355114136391,activation
g3,g56,0.0652311061525602,activation
g45,g56,0.0651775606277257,activation
g51,g34,0.0650176947956354,repression
g50,g39,0.0649318406208759,repression
g3,g2,0.0649244080709658,activation
g54,g3,0.0646012067884207,repression
g40,g16,0.0645803105537604,activation
g9,g2,0.0644469516668143,repression
g26,g6,0.0642910027272322,activation
g26,g45,0.0641744027797568,repression
g53,g2,0.0641042770692811,activation
g54,g24,0.0640893358739923,activation
g15,g38,0.0640519183478275,repression
g45,g39,0.0640022567850382,activation
g54,g0,0.0639960956439526,activation
g27,g4,0.063945516622961,repression
g30,g58,0.0639130319252459,repression
g50,g50,0.0637588473555711,activation
g19,g45,0.0636352368485872,repression
g48,g28,0.063621648763001,activation
g53,g45,0.0630614115927494,repression
g27,g13,0.0629366543465883,activation
g2,g30,0.0628928074226962,activation
g31,g47,0.062832220138418,repression
g16,g26,0.0627817590047187,repression
g30,g52,0.062728935029747,activation
g2,g64,0.0625116680809197,repression
g15,g35,0.0625039518506208,activation
g15,g54,0.0623945407960027,activation
g34,g47,0.0622592573036545,repression
g3,g39,0.062178385688875,activation
g54,g45,0.0621744362577411,repression
g34,g24,0.061761475192382,repression
g61,g8,0.0616606220725935,repression
g34,g16,0.0616510028338776,repression
g5,g4,0.061453812562975,activation
g25,g56,0.0614328954586165,activation
g8,g32,0.0613715332404433,repression
g31,g18,0.0613028270647901,activation
g8,g57,0.0612101833588107,repression
g16,g25,0.06110838410194,repression
g56,g2,0.0611020866286039,activation
g60,g42,0.0607110849080878,repression
g2,g15,0.0606355531080486,activation
g39,g62,0.0604683300089129,activation
g5,g58,0.0604344761900596,repression
g3,g16,0.0602594441623985,activation
g3,g32,0.0601787716652989,repression
g15,g33,0.0601667929192322,repression
g6,g19,0.060160452932768,repression
g30,g5,0.0600542796359125,activation
g15,g50,0.0598907700481909,activation
g26,g24,0.0597558123642411,activation
g54,g56,0.0597141864691485,repression
g48,g1,0.0595558389781811,repression
g58,g47,0.0594061057584685,repression
g30,g16,0.0592031784168249,repression
g58,g52,0.0589124600822299,repression
