Gene1	Gene2	corVal	pValue
g7	g55	0.143124239954905	0.0275894886003413
g39	g18	0.142463051277986	0.0283223843313099
g18	g39	0.142463051277986	0.02832238433131
g10	g0	0.141579927761609	0.0293272337987431
g0	g10	0.141579927761609	0.0293272337987432
g12	g0	0.136852810269728	0.0352391187937305
g0	g12	0.136852810269728	0.0352391187937307
g30	g62	0.136332025234832	0.0359483303616658
g62	g30	0.136332025234831	0.035948330361666
g30	g12	0.135594732524159	0.0369730374717083
g12	g30	0.135594732524159	0.0369730374717084
g18	g20	0.135580840432352	0.0369925798265653
g20	g18	0.135580840432352	0.0369925798265655
g25	g53	0.135551502362796	0.0370338791451813
g53	g25	0.135551502362796	0.0370338791451813
g31	g11	0.135058222836713	0.0377341337756765
g11	g31	0.135058222836713	0.0377341337756768
g55	g42	0.134423628771456	0.0386514293209255
g42	g55	0.134423628771456	0.0386514293209255
g59	g31	0.13333093051991	0.0402750240768985
g31	g59	0.13333093051991	0.0402750240768986
g25	g29	0.132843447508016	0.0410176824666113
g29	g25	0.132843447508016	0.0410176824666115
g14	g18	0.132759287170006	0.0411470568230117
g18	g14	0.132759287170006	0.0411470568230117
g7	g18	0.132177069910164	0.0420515018910752
g18	g7	0.132177069910164	0.0420515018910752
g55	g10	0.13110066162544	0.0437676837824049
g10	g55	0.13110066162544	0.043767683782405
g23	g25	0.130356991261187	0.0449873768516712
g25	g23	0.130356991261187	0.0449873768516714
g47	g24	0.130283567564361	0.0451093288152019
g24	g47	0.130283567564361	0.045109328815202
g14	g27	0.130272447041504	0.0451278234038245
g27	g14	0.130272447041504	0.0451278234038245
g50	g13	0.128313962485116	0.0484855307915511
g13	g50	0.128313962485116	0.0484855307915511
g61	g0	0.126551205841809	0.051683520841743
g0	g61	0.126551205841809	0.0516835208417433
g6	g61	0.126393251990954	0.0519784495136134
g61	g6	0.126393251990954	0.0519784495136139
g37	g41	0.124732165760446	0.0551655498456923
g41	g37	0.124732165760446	0.0551655498456924
g14	g46	0.123820799545098	0.0569818617644072
g46	g14	0.123820799545098	0.0569818617644074
g48	g4	0.122900176272463	0.058866529890045
g4	g48	0.122900176272463	0.0588665298900453
g58	g56	0.122885705185466	0.0588965601945948
g56	g58	0.122885705185466	0.0588965601945952
g47	g20	0.122688037935686	0.0593080247118548
g20	g47	0.122688037935686	0.0593080247118551
g20	g12	0.122532725792601	0.0596329830611852
g12	g20	0.122532725792601	0.0596329830611854
g16	g15	0.122318311774733	0.0600840100128051
g15	g16	0.122318311774733	0.0600840100128052
g5	g24	0.122228919698912	0.0602728774850116
g24	g5	0.122228919698912	0.0602728774850116
g12	g22	0.121624082503038	0.0615636629974925
g22	g12	0.121624082503038	0.0615636629974932
g57	g1	0.121376739076687	0.0620980297956824
g1	g57	0.121376739076687	0.0620980297956827
g43	g59	0.120571784356881	0.0638635299968568
g59	g43	0.120571784356881	0.0638635299968568
g63	g9	0.120546261266522	0.0639201764021996
g9	g63	0.120546261266522	0.0639201764021998
g21	g54	0.120185854822142	0.0647244795797232
g54	g21	0.120185854822142	0.0647244795797233
g46	g37	0.120146774062742	0.0648121908563088
g37	g46	0.120146774062742	0.0648121908563089
g9	g0	0.119847104550913	0.0654880000661398
g0	g9	0.119847104550913	0.0654880000661398
g9	g3	0.118973565612794	0.067490992495334
g3	g9	0.118973565612794	0.0674909924953341
g8	g28	0.118402827144481	0.0688265241323815
g28	g8	0.118402827144481	0.0688265241323815
g14	g57	0.117879148182239	0.0700708432298974
g57	g14	0.117879148182239	0.0700708432298975
g43	g28	0.116758369410448	0.0727956068690643
g28	g43	0.116758369410448	0.0727956068690644
g16	g37	0.116467672629396	0.0735162278112713
g37	g16	0.116467672629396	0.0735162278112715
g49	g63	0.116440547655391	0.0735837637430654
g63	g49	0.116440547655391	0.0735837637430654
g6	g34	0.116021611620756	0.0746332496619156
g34	g6	0.116021611620756	0.0746332496619157
g61	g44	0.114827581209582	0.077691243851184
g44	g61	0.114827581209582	0.0776912438511841
g31	g21	0.113821014631139	0.0803472001497489
g21	g31	0.113821014631139	0.0803472001497489
g48	g42	0.113761359586677	0.0805068802321134
g42	g48	0.113761359586677	0.0805068802321135
g63	g43	0.113300060451322	0.0817503152182683
g43	g63	0.113300060451322	0.0817503152182684
g54	g2	0.112483638847182	0.08398889457182
g2	g54	0.112483638847182	0.0839888945718203
g30	g60	0.112299344682461	0.0845009780268077
g60	g30	0.112299344682461	0.0845009780268081
g44	g43	0.112093457064216	0.0850760266992605
g43	g44	0.112093457064216	0.0850760266992606
g19	g23	0.111936960607871	0.0855152246929072
g23	g19	0.111936960607871	0.0855152246929072
g64	g46	0.111606013860991	0.0864500042199914
g46	g64	0.111606013860991	0.0864500042199914
g4	g31	0.111531582855568	0.0866613645157799
g31	g4	0.111531582855568	0.0866613645157799
g22	g9	0.111319114336228	0.0872669887912947
g9	g22	0.111319114336228	0.0872669887912951
g30	g5	0.111232587908584	0.0875145957135414
g5	g30	0.111232587908584	0.0875145957135415
g1	g3	0.110268084289206	0.0903129471417598
g3	g1	0.110268084289206	0.0903129471417604
g10	g11	0.10993632429039	0.0912918679257657
g11	g10	0.10993632429039	0.0912918679257662
g31	g8	0.109733963273519	0.0918931219712668
g8	g31	0.109733963273519	0.091893121971267
g41	g3	0.109733818629411	0.0918935528649672
g3	g41	0.109733818629411	0.0918935528649678
g64	g32	0.109548242470156	0.092447712752143
g32	g64	0.109548242470156	0.092447712752143
g0	g13	0.109492115208485	0.0926158418455891
g13	g0	0.109492115208485	0.0926158418455893
g26	g42	0.109292380157603	0.0932161271660302
g42	g26	0.109292380157603	0.0932161271660303
g14	g16	0.109223156556105	0.0934248947452958
g16	g14	0.109223156556105	0.093424894745296
g54	g59	0.10916738765131	0.0935933560114317
g59	g54	0.10916738765131	0.0935933560114318
g48	g21	0.108583491363307	0.0953717070636554
g21	g48	0.108583491363306	0.0953717070636558
g11	g37	0.108120982578574	0.0967993506315455
g37	g11	0.108120982578574	0.0967993506315457
g61	g54	0.10795156550399	0.0973265268586379
g54	g61	0.10795156550399	0.0973265268586381
g30	g51	0.1076710216271	0.0982045091105451
g51	g30	0.1076710216271	0.0982045091105454
g27	g55	0.107485717468773	0.0987878707994034
g55	g27	0.107485717468773	0.0987878707994037
g20	g39	0.106822691006165	0.100897706210181
g39	g20	0.106822691006165	0.100897706210181
g38	g44	0.106692434501426	0.101316361516051
g44	g38	0.106692434501426	0.101316361516052
g29	g6	0.106096056908015	0.103250751673149
g6	g29	0.106096056908015	0.103250751673149
g52	g9	0.105972470929682	0.103655236985695
g9	g52	0.105972470929682	0.103655236985696
g6	g1	0.105807982657638	0.104195531471086
g1	g6	0.105807982657638	0.104195531471087
g29	g32	0.105319841277838	0.105812022266829
g32	g29	0.105319841277838	0.105812022266829
g31	g60	0.105096704457175	0.10655749664176
g60	g31	0.105096704457175	0.106557496641761
g23	g50	0.105067110687028	0.106656675924443
g50	g23	0.105067110687028	0.106656675924443
g30	g39	0.104865554306497	0.107334098166653
g39	g30	0.104865554306497	0.107334098166654
g8	g46	0.104526725034847	0.108480514463624
g46	g8	0.104526725034847	0.108480514463624
g35	g8	0.104355686012364	0.1090628636045
g8	g35	0.104355686012363	0.1090628636045
g26	g2	0.104330343571832	0.109149357438135
g2	g26	0.104330343571832	0.109149357438135
g4	g23	0.104168832399095	0.109701862549165
g23	g4	0.104168832399095	0.109701862549165
g62	g37	0.10384780925565	0.110806553101928
g37	g62	0.10384780925565	0.110806553101928
g9	g44	0.103595415728606	0.111681191344744
g44	g9	0.103595415728606	0.111681191344744
g4	g20	0.10348021218255	0.112082209533581
g20	g4	0.10348021218255	0.112082209533581
g42	g29	0.103312812246097	0.112666930991303
g29	g42	0.103312812246097	0.112666930991303
g43	g41	0.103067410086204	0.113528426387956
g41	g43	0.103067410086204	0.113528426387956
g23	g33	0.102963177492334	0.113895895875265
g33	g23	0.102963177492334	0.113895895875265
