Ensembl_id,gene_name
ENSDARG00000116760,nfe2l1a
ENSDARG00000109410,CT971500.1
ENSDARG00000089715,si:cabz01054394
ENSDARG00000095896,pou3f3b
ENSDARG00000062621,satb1b
ENSDARG00000116993,npas2
ENSDARG00000097215,si:dkey-172k15
ENSDARG00000104885,CABZ01033178.1
ENSDARG00000068380,foxg1c
ENSDARG00000111803,BX640593.1
ENSDARG00000000151,thraa
ENSDARG00000086825,znf521
ENSDARG00000026972,si:ch211-119o8
ENSDARG00000075783,hmgxb4a
ENSDARG00000042977,nfil3
ENSDARG00000000175,hoxb2a
ENSDARG00000078159,zgc:175284
ENSDARG00000098103,tefb
ENSDARG00000113275,BX927082.3
ENSDARG00000038780,ubtfl
ENSDARG00000067607,srebf1
ENSDARG00000102455,znf1133
ENSDARG00000076472,ovol1a
ENSDARG00000055162,zhx2a
ENSDARG00000007990,wt1b
ENSDARG00000070542,mafbb
ENSDARG00000019717,pbx2
ENSDARG00000097812,si:ch73-144d13
ENSDARG00000069675,her8
ENSDARG00000099120,mafbb
ENSDARG00000116208,hmx4
ENSDARG00000088298,si:ch211-235i11
ENSDARG00000097551,si:dkey-7i4
ENSDARG00000098094,si:dkey-146c18
ENSDARG00000068406,six5
ENSDARG00000089092,si:cabz01054394
ENSDARG00000012649,gb:cr929477
ENSDARG00000074624,si:ch211-198a12
ENSDARG00000077813,si:dkey-34f9
ENSDARG00000016363,her8a
ENSDARG00000111929,BX936442.1
ENSDARG00000090366,znf1065
ENSDARG00000103636,zgc:173702
ENSDARG00000114414,BX663502.4
ENSDARG00000103244,CABZ01081752.3
ENSDARG00000062824,alx1
ENSDARG00000089883,si:dkey-210j14
ENSDARG00000012833,foxn3
ENSDARG00000111056,hoxb8b
ENSDARG00000109864,znf995
ENSDARG00000110658,zgc:174696
ENSDARG00000112403,BX511013.1
ENSDARG00000115857,znf1001
ENSDARG00000059256,hoxd13a
ENSDARG00000100544,AL954741.3
ENSDARG00000056793,jazf1b
ENSDARG00000102606,znf1158
ENSDARG00000112623,CT027745.3
ENSDARG00000078814,si:dkey-34m19
ENSDARG00000111786,hoxb6b
ENSDARG00000055481,atf7b
ENSDARG00000053666,myb
ENSDARG00000112502,BX936445.4
ENSDARG00000056023,hoxb9a
ENSDARG00000116417,gsx2
ENSDARG00000034117,rarga
ENSDARG00000013207,zeb1b
ENSDARG00000061974,grhl2b
ENSDARG00000002330,lhx8a
ENSDARG00000002937,meis1a
ENSDARG00000043553,ches1
ENSDARG00000045983,zbtb43
ENSDARG00000013539,ikzf1
ENSDARG00000099346,znf1079
ENSDARG00000070786,znf770
ENSDARG00000054903,mta3
ENSDARG00000014828,l3mbtl1a
ENSDARG00000070465,si:dkey-13n23
ENSDARG00000059130,gata1b
ENSDARG00000110031,BX649328.3
ENSDARG00000100652,znf1147
ENSDARG00000075542,zfhx4
ENSDARG00000013789,sim1b
ENSDARG00000095549,si:dkeyp-106c3
ENSDARG00000101578,e2f4
ENSDARG00000103247,znf993
ENSDARG00000087839,si:dkey-33c14
ENSDARG00000115912,BX571714.13
ENSDARG00000079547,zbtb47b
ENSDARG00000116211,si:dkey-5i16
ENSDARG00000113582,znf1149
ENSDARG00000056400,helt
ENSDARG00000096222,si:ch211-245n8
ENSDARG00000042215,pias4b
ENSDARG00000022203,gtf2ird1
ENSDARG00000003142,dachc
ENSDARG00000087453,si:ch73-57f22
ENSDARG00000004712,tbr1b
ENSDARG00000070955,hmx3a
ENSDARG00000077428,camta1a
ENSDARG00000056666,sp8b
ENSDARG00000103691,rfx7b
ENSDARG00000088631,BX000363.1
ENSDARG00000077811,sox11a
ENSDARG00000098903,tfe3a
ENSDARG00000098536,si:dkey-25i10
ENSDARG00000109840,znf993
ENSDARG00000054562,her15.1
ENSDARG00000021938,smad9
ENSDARG00000103597,si:dkey-40j3
ENSDARG00000099175,hmgb1a
ENSDARG00000101029,si:ch73-347e22
ENSDARG00000113877,hoxc13b
ENSDARG00000115450,si:ch211-226o13
ENSDARG00000016457,irf9
ENSDARG00000116678,BX914217.2
ENSDARG00000063438,srebf2
ENSDARG00000029072,klf6a
ENSDARG00000059836,ddit3
ENSDARG00000087753,CR388166.1
ENSDARG00000043249,irf1b
ENSDARG00000061311,znf438
ENSDARG00000012656,atf6
ENSDARG00000098683,zmiz2
ENSDARG00000069295,bcl6ab
ENSDARG00000070340,hoxc5a
ENSDARG00000041952,prox2
ENSDARG00000112103,si:dkey-16p19
ENSDARG00000111899,zgc:171435
ENSDARG00000116035,AL845357.6
ENSDARG00000061548,si:ch211-145o7
ENSDARG00000104163,si:cabz01071912
ENSDARG00000093461,si:dkey-56m15
ENSDARG00000115480,CABZ01005857.1
ENSDARG00000098122,BX005085.2
ENSDARG00000086223,si:ch73-144d13
ENSDARG00000105669,si:dkey-10f23
ENSDARG00000079187,tbx19
ENSDARG00000087536,znf407
ENSDARG00000056594,irx1b
ENSDARG00000087674,si:ch1073-127d16
ENSDARG00000112985,hnf4a
ENSDARG00000042032,pou3f3a
ENSDARG00000100415,CABZ01002188.1
ENSDARG00000002362,ubald1a
ENSDARG00000070913,sox2
ENSDARG00000045413,gcm2
ENSDARG00000110853,elk3
ENSDARG00000116017,dlx2b
ENSDARG00000114289,znf980
ENSDARG00000110497,sox19a
ENSDARG00000095241,mybl2a
ENSDARG00000103133,hoxc12b
ENSDARG00000094387,si:dkeyp-30e7
ENSDARG00000109381,CU457778.2
ENSDARG00000110852,znf1111
ENSDARG00000111018,BX323598.3
ENSDARG00000116511,CABZ01080135.1
ENSDARG00000101885,si:dkey-20i20
ENSDARG00000052242,aff2
ENSDARG00000100915,si:ch211-255f4
ENSDARG00000039806,tbxtb
ENSDARG00000099564,atoh1b
ENSDARG00000112480,BX530085.2
ENSDARG00000034420,irx6a
ENSDARG00000076442,zgc:174310
ENSDARG00000077581,zzz3
ENSDARG00000088332,alx4a
ENSDARG00000093403,si:ch73-376l24
ENSDARG00000076251,irf3
ENSDARG00000111026,BX927193.2
ENSDARG00000116340,BX510922.4
ENSDARG00000098248,CABZ01081730.1
ENSDARG00000094059,si:ch211-191j22
ENSDARG00000096186,si:dkey-247i3
ENSDARG00000067850,jund
ENSDARG00000056732,her4.1
ENSDARG00000021891,zbtb7b
ENSDARG00000069440,dachd
ENSDARG00000010192,pax3a
ENSDARG00000102321,si:ch73-299h12
ENSDARG00000109684,BX510918.1
ENSDARG00000111121,BX247903.1
ENSDARG00000034043,irx5a
ENSDARG00000092507,znf1013
ENSDARG00000043226,nfixa
ENSDARG00000113138,BX324001.4
ENSDARG00000039117,tefa
ENSDARG00000102561,AL645691.1
ENSDARG00000031894,lef1
