Gene1	Gene2	EdgeWeight
g47	g14	0.07802244870597187
g47	g17	0.07794036228315729
g13	g46	0.07743722700634728
g56	g39	0.07696205434440763
g2	g45	0.07674587031702237
g18	g22	0.07665806829729224
g22	g47	0.07647055745116083
g14	g47	0.0764532128404491
g10	g40	0.07622738143363825
g18	g20	0.07609905158685454
g50	g6	0.07606913200904335
g59	g40	0.075920582510091
g22	g18	0.07452349316218658
g13	g12	0.07392782065044758
g22	g59	0.07388840396988565
g9	g55	0.07377594232439255
g18	g12	0.07361030706191128
g10	g31	0.07342298557014597
g20	g18	0.0732864168121231
g30	g45	0.07311476165710595
g31	g9	0.07310122601437882
g11	g9	0.07277462920844226
g13	g20	0.07202858548453546
g1	g50	0.07090244840327646
g59	g10	0.0705258952021551
g20	g59	0.07052325177708302
g12	g59	0.07039951406355445
g40	g31	0.07023860330466355
g39	g2	0.06990844555252629
g12	g10	0.06978693118046145
g10	g59	0.06854362753817284
g18	g14	0.06823140482984369
g59	g31	0.06803727174042007
g30	g39	0.06784903907343001
g40	g10	0.06734788420076178
g59	g21	0.06677985369786922
g13	g22	0.06665757089339379
g31	g48	0.06651179200023105
g17	g47	0.06587899568809268
g4	g45	0.06587540737367249
g31	g53	0.06502646104579751
g43	g63	0.06394881968915267
g39	g30	0.06276662282971157
g18	g41	0.06250070354187237
g50	g1	0.06246229344149048
g22	g13	0.062324687299139085
g17	g11	0.061827763766247976
g26	g15	0.061471944122710474
g31	g44	0.06126696699647654
g55	g8	0.06079645605558809
g45	g64	0.06064842774828736
g47	g25	0.0606301962427734
g13	g17	0.06010870269069809
g1	g56	0.0600512559834956
g40	g53	0.0598593586741381
g15	g26	0.05931127303244911
g26	g61	0.058939027607210225
g12	g55	0.05875682398584577
g20	g13	0.05869540592288468
g40	g55	0.05861759415481764
g12	g40	0.0585019764335129
g12	g11	0.058396029118812524
g59	g11	0.05815251771092386
g31	g57	0.05808980801718161
g11	g40	0.05771593093501035
g63	g43	0.057570328388685664
g61	g15	0.05724657326078991
g59	g44	0.05691971096162194
g47	g62	0.0568417723030939
g43	g19	0.05667016093428048
g12	g47	0.05658255067470255
g12	g18	0.056278333873418455
g2	g39	0.05626508186779711
g43	g7	0.0561505573881965
g31	g21	0.0560319017349575
g1	g2	0.05577243789470444
g1	g30	0.055589906026624405
g1	g43	0.05551085988693102
g39	g64	0.055075354654638066
g2	g50	0.0550401190672084
g55	g21	0.05496603851223877
g21	g55	0.05494190278252673
g56	g4	0.054551659784519334
g61	g26	0.05449750998724269
g22	g10	0.05449139158644058
g40	g21	0.05438407172434846
g47	g46	0.0541986098079258
g17	g40	0.05385506595417045
g18	g37	0.05350526563456099
g50	g43	0.05325684691098827
g31	g55	0.052598591594622136
g22	g16	0.05258192044452931
g1	g63	0.05234582301465522
g40	g11	0.05219554187269522
g2	g6	0.052051385154436434
g50	g61	0.05160032471207583
g52	g54	0.05098696901902553
g22	g11	0.05096019791644038
g9	g21	0.05040458863336731
g8	g48	0.050323753839091774
g17	g18	0.0500969484341675
g17	g10	0.04965581454673322
g12	g13	0.04931560002862497
g21	g48	0.049276809731662284
g40	g57	0.04925983407970508
g1	g8	0.0491278085702384
g17	g31	0.04899526383605282
g13	g59	0.048963054845215764
g20	g31	0.04894304908363405
g40	g59	0.04891598490560558
g48	g21	0.04875837056373785
g17	g59	0.04865490363407935
g18	g31	0.04843735274071721
g59	g53	0.048305362880930174
g8	g55	0.048266787191938144
g47	g36	0.04825148920248353
g15	g61	0.048177113178379465
g31	g15	0.04808332062420683
g45	g33	0.04790696187536566
g55	g19	0.047826177481607696
g50	g63	0.04775743256639727
g43	g6	0.04760676080225698
g39	g5	0.04737233469911673
