TF	target	importance
g59	g11	0.0836725754008147
g56	g39	0.08361248083748862
g31	g59	0.0828697234088369
g13	g20	0.08263081573379824
g39	g4	0.08249699101570084
g4	g45	0.08197452521516498
g13	g46	0.08192497048219957
g17	g11	0.08128674876813079
g39	g30	0.08042517328094254
g3	g30	0.07962344980461396
g47	g17	0.07943033675230093
g55	g9	0.0788433648722883
g20	g11	0.07863035261347948
g11	g59	0.0784329104701836
g9	g55	0.0781354892830936
g17	g59	0.07634938319457357
g1	g56	0.07577500707345353
g18	g17	0.0756496497783343
g40	g21	0.07542653087277813
g18	g22	0.07512006028907403
g13	g12	0.07460674272048157
g39	g56	0.07416132377371101
g3	g56	0.07415673326625666
g47	g14	0.07367743614503887
g61	g48	0.07361723761713737
g45	g56	0.07330503215046094
g30	g39	0.0728978960372848
g5	g54	0.07248464071135655
g13	g17	0.07232835584975
g6	g61	0.07232582200301688
g13	g36	0.0717648610663984
g59	g10	0.0712445349072977
g30	g45	0.07108168244385035
g21	g55	0.07102549342319493
g18	g46	0.07089955093065911
g18	g36	0.07071575368334017
g56	g3	0.07026412512980067
g36	g13	0.06958600963616826
g22	g59	0.06951376842290281
g47	g22	0.06936643937759639
g12	g11	0.06930481053218528
g15	g26	0.0687003454017798
g2	g50	0.0685474184797564
g11	g53	0.0681733761241113
g45	g30	0.06792614617072149
g31	g10	0.0677490624657796
g13	g31	0.06762381189518214
g30	g3	0.06708365939332611
g47	g20	0.06674499373899748
g55	g21	0.06643467343722571
g46	g13	0.06640505898799244
g56	g45	0.06637659418725839
g6	g19	0.0660759148929817
g22	g11	0.0660454140820456
g2	g45	0.06543647369394878
g10	g55	0.06519198652909812
g47	g36	0.06509064329524486
g39	g2	0.06435852024231038
g12	g18	0.06412510143502902
g20	g18	0.06363825078535762
g26	g15	0.06355620732159663
g45	g64	0.06256221105806477
g6	g7	0.06142861809528194
g2	g6	0.06131791705541531
g50	g63	0.061203349500731946
g39	g64	0.06118968634100453
g6	g63	0.05967062148738743
g6	g43	0.05964757103339768
g13	g22	0.05939871294510185
g47	g46	0.05894330142469619
g10	g11	0.05887828045549383
g2	g39	0.05849588003454298
g21	g40	0.0583021398020044
g47	g31	0.05827253552609088
g54	g5	0.058063414002604376
g11	g57	0.05791283922468163
g36	g18	0.05780884313157707
g47	g12	0.057711937416187443
g17	g16	0.05770424187169694
g59	g44	0.05732260008719173
g18	g59	0.05704795280464223
g59	g53	0.05667061145875978
g56	g15	0.056539031221326516
g10	g31	0.05620473092502843
g20	g13	0.05594189550140113
g61	g8	0.055657931230201914
g1	g15	0.05562283020029903
g11	g9	0.05560595968080814
g61	g15	0.05550414242057608
g9	g8	0.055289874878378886
g11	g31	0.05522431481783988
g12	g31	0.05469288151970268
g61	g6	0.05444024339157795
g30	g15	0.054388438963792196
g45	g33	0.054353651299872636
g18	g37	0.05426747719977352
g56	g61	0.05420450952785836
g17	g13	0.05342866909494362
g45	g2	0.05336245968409009
g46	g18	0.05328578050554342
g46	g47	0.053279984340757175
g39	g5	0.05276407507416435
g39	g33	0.052644269052648573
g11	g44	0.05258164580302225
g40	g9	0.05243085275827065
g13	g29	0.05220981904342734
g1	g19	0.05179888340468702
g36	g52	0.05172654637841529
