,cluster,correlation,order,gene
ENSDARG00000062630,0,pos,0.3875,dnah9l
ENSDARG00000058179,0,neg,0.4625,ackr3b
ENSDARG00000088140,0,pos,0.3875,hsd17b7
ENSDARG00000021669,0,neg,0.3875,sec61a1
ENSDARG00000075297,1,pos,0.1125,trnt1
ENSDARG00000042128,0,pos,0.3875,pacsin1b
ENSDARG00000031388,0,pos,0.3875,dctn2
ENSDARG00000027397,1,pos,0.3875,vangl2
ENSDARG00000034855,1,pos,0.3875,ccnb3
ENSDARG00000092115,1,pos,0.0125,eif4a1a
ENSDARG00000010596,0,pos,0.7875000000000001,slc7a6os
ENSDARG00000012030,0,pos,0.3875,dnaaf1
ENSDARG00000054264,1,pos,0.0125,cog4
ENSDARG00000018817,0,pos,0.2625,bdnf
ENSDARG00000069030,0,pos,0.3875,skor1a
ENSDARG00000075800,0,pos,0.3875,calml4a
ENSDARG00000069090,0,pos,0.3875,atp6v0d1
ENSDARG00000005993,1,pos,0.21250000000000002,prc1b
ENSDARG00000101540,0,neg,0.08750000000000001,fgf3
ENSDARG00000004713,1,pos,0.08750000000000001,mad2l1
ENSDARG00000008384,0,neg,0.3875,hdac6
ENSDARG00000039458,0,pos,0.3875,lhx4
ENSDARG00000055294,0,pos,0.43750000000000006,atoh1a
ENSDARG00000068168,1,pos,0.1125,hes2.2
ENSDARG00000011027,0,neg,0.3875,fgfr1a
ENSDARG00000053383,0,pos,0.16250000000000003,rprma
ENSDARG00000027234,0,pos,0.3875,ift88
ENSDARG00000010300,0,pos,0.3875,traf3ip1
ENSDARG00000025348,0,pos,0.5125,igfbp5b
ENSDARG00000077928,0,pos,0.3875,ccdc173
ENSDARG00000078433,1,pos,0.1125,spc25
ENSDARG00000099279,0,pos,0.3875,ift27
ENSDARG00000099564,1,pos,0.3875,atoh1b
