Gene1	Gene2	EdgeWeight
g28	g24	1.8175006278844523
g3	g33	1.817105929217349
g33	g3	1.817105929217349
g22	g44	1.8167912130242037
g44	g22	1.8167912130242037
g24	g36	1.8167272262803185
g36	g24	1.8167272262803185
g56	g8	1.8162526383634388
g8	g56	1.8162526383634388
g26	g9	1.816156664971783
g9	g26	1.816156664971783
g8	g9	1.8155570225878328
g9	g8	1.8155570225878328
g21	g50	1.8147349429987405
g50	g21	1.8147349429987405
g1	g43	1.8144022334377443
g43	g1	1.8144022334377443
g19	g61	1.81334027487053
g61	g19	1.81334027487053
g43	g7	1.8131671848803517
g7	g43	1.8131671848803517
g14	g25	1.8117248151274112
g25	g14	1.8117248151274112
g22	g59	1.811411282013132
g59	g22	1.811411282013132
g19	g63	1.8107386902036804
g63	g19	1.8107386902036804
g12	g18	1.8090936934159736
g18	g12	1.8090936934159736
g1	g61	1.8085934495784683
g61	g1	1.8085934495784683
g14	g37	1.807379452479876
g37	g14	1.807379452479876
g29	g37	1.8058081108988542
g37	g29	1.8058081108988542
g21	g55	1.8049610823433415
g55	g21	1.8049610823433415
g25	g29	1.804104526242688
g29	g25	1.804104526242688
g11	g26	1.8018370169586804
g26	g11	1.8018370169586804
g0	g32	1.801826448655773
g32	g0	1.801826448655773
g15	g26	1.801779121890203
g26	g15	1.801779121890203
g43	g61	1.8014097300609346
g61	g43	1.8014097300609346
g13	g25	1.8012256384532437
g25	g13	1.8012256384532437
g29	g46	1.8006393975030095
g46	g29	1.8006393975030095
g10	g44	1.8002994160102448
g44	g10	1.8002994160102448
g17	g18	1.795945762672824
g18	g17	1.795945762672824
g4	g56	1.7950353296368773
g56	g4	1.7950353296368773
g50	g56	1.794565991294513
g56	g50	1.794565991294513
g17	g59	1.7942546817026377
g59	g17	1.7942546817026377
g20	g62	1.7909773399169822
g62	g20	1.7909773399169822
g20	g47	1.7884954319185842
g47	g20	1.7884954319185842
g30	g61	1.7878662466447015
g61	g30	1.7878662466447015
g37	g46	1.7877287247169522
g46	g37	1.7877287247169522
g12	g16	1.7875029068736532
g16	g12	1.7875029068736532
g25	g47	1.7864733426567403
g47	g25	1.7864733426567403
g0	g52	1.7852454164861578
g52	g0	1.7852454164861578
g10	g9	1.783323141597995
g9	g10	1.783323141597995
g23	g51	1.7833168973647984
g51	g23	1.7833168973647984
g61	g63	1.7811527036709147
g63	g61	1.7811527036709147
g11	g20	1.7801946886369755
g20	g11	1.7801946886369755
g29	g36	1.7796787043766846
g36	g29	1.7796787043766846
g23	g35	1.7793791683161546
g35	g23	1.7793791683161546
g0	g4	1.7772078754387386
g4	g0	1.7772078754387386
g2	g4	1.7771078174212795
g4	g2	1.7771078174212795
g3	g50	1.7767487655077878
g50	g3	1.7767487655077878
g12	g59	1.7765568708213113
g59	g12	1.7765568708213113
g24	g54	1.7757497341496578
g54	g24	1.7757497341496578
g15	g61	1.7744175263719415
g61	g15	1.7744175263719415
g0	g43	1.7742470311182892
g43	g0	1.7742470311182892
g20	g59	1.7735074777014173
g59	g20	1.7735074777014173
g50	g8	1.7727222467797343
g8	g50	1.7727222467797343
g26	g48	1.7716371412800822
g48	g26	1.7716371412800822
g14	g52	1.7715930354280474
g52	g14	1.7715930354280474
g12	g62	1.7705949304774884
g62	g12	1.7705949304774884
g57	g59	1.7692907324507303
g59	g57	1.7692907324507303
g48	g56	1.7683053038244383
g56	g48	1.7683053038244383
g2	g64	1.768144053052029
g64	g2	1.768144053052029
g12	g44	1.767721437771788
g44	g12	1.767721437771788
g42	g51	1.7674111703894395
g51	g42	1.7674111703894395
g2	g43	1.766726375125775
g43	g2	1.766726375125775
g53	g59	1.7666748028096548
g59	g53	1.7666748028096548
g18	g22	1.76526462584168
g22	g18	1.76526462584168
g2	g6	1.7644653689667358
g6	g2	1.7644653689667358
g13	g20	1.7639128597845812
g20	g13	1.7639128597845812
g19	g43	1.7625130020264377
g43	g19	1.7625130020264377
g3	g6	1.7615853670920822
g6	g3	1.7615853670920822
g15	g40	1.7610597843677525
g40	g15	1.7610597843677525
g21	g59	1.7605502579913916
g59	g21	1.7605502579913916
g20	g44	1.7586429243882342
g44	g20	1.7586429243882342
g10	g57	1.757877902467467
g57	g10	1.757877902467467
g16	g20	1.7571264824929462
g20	g16	1.7571264824929462
g13	g16	1.7560523705110294
g16	g13	1.7560523705110294
g13	g38	1.7538098111344167
g38	g13	1.7538098111344167
g63	g7	1.7525096255838322
g7	g63	1.7525096255838322
g36	g37	1.7515189015981556
g37	g36	1.7515189015981556
g12	g41	1.7503730798259685
g41	g12	1.7503730798259685
g27	g49	1.7502545677719912
g49	g27	1.7502545677719912
g17	g41	1.7496229575155644
g41	g17	1.7496229575155644
g1	g8	1.7491813782542036
g8	g1	1.7491813782542036
g11	g59	1.7475649879224937
g59	g11	1.7475649879224937
g33	g54	1.7472517521742486
g54	g33	1.7472517521742486
g2	g8	1.746968543638828
g8	g2	1.746968543638828
g2	g63	1.7460535781786906
g63	g2	1.7460535781786906
g16	g22	1.7458329801586423
g22	g16	1.7458329801586423
g35	g54	1.7436252345372467
g54	g35	1.7436252345372467
g53	g60	1.74329307200864
g60	g53	1.74329307200864
g18	g62	1.7401474564594532
g62	g18	1.7401474564594532
g16	g27	1.7400436787574711
g27	g16	1.7400436787574711
g1	g26	1.738901641577014
g26	g1	1.738901641577014
g16	g59	1.7371086215035771
g59	g16	1.7371086215035771
g12	g57	1.7365759047001117
g57	g12	1.7365759047001117
g59	g62	1.7360978486615959
g62	g59	1.7360978486615959
g30	g6	1.7352934825767043
g6	g30	1.7352934825767043
g32	g42	1.7343491353033889
g42	g32	1.7343491353033889
g48	g50	1.7332498037902748
g50	g48	1.7332498037902748
g10	g55	1.7306780889495288
g55	g10	1.7306780889495288
g63	g8	1.7306049140422286
g8	g63	1.7306049140422286
g12	g25	1.7305811138764704
g25	g12	1.7305811138764704
g18	g20	1.7304704058686269
g20	g18	1.7304704058686269
g24	g27	1.7301720674711225
g27	g24	1.7301720674711225
g55	g8	1.7299737243266344
g8	g55	1.7299737243266344
g16	g47	1.7298044914566149
g47	g16	1.7298044914566149
g31	g59	1.7296826763145468
g59	g31	1.7296826763145468
g1	g45	1.7291413244407343
g45	g1	1.7291413244407343
g20	g41	1.7285460259456764
g41	g20	1.7285460259456764
g30	g48	1.7274995280617231
g48	g30	1.7274995280617231
g56	g58	1.7258434845045132
g58	g56	1.7258434845045132
g40	g9	1.7238546061602715
g9	g40	1.7238546061602715
g30	g7	1.7222310636994511
g7	g30	1.7222310636994511
g1	g55	1.7218661979578809
g55	g1	1.7218661979578809
g32	g38	1.721030304503321
g38	g32	1.721030304503321
g13	g51	1.7188850170725667
g51	g13	1.7188850170725667
g18	g52	1.7180612579696946
