Gene1	Gene2	EdgeWeight
g55	g8	16.753673102461285
g59	g11	16.73360371921666
g64	g45	16.72419675474212
g59	g20	16.63783975891632
g12	g55	16.596880641136813
g1	g30	16.57390410224895
g40	g10	16.505619895776576
g59	g44	16.452614070695724
g8	g48	16.320816729739757
g31	g15	16.275333069453737
g31	g57	16.223166389418864
g45	g4	16.209293310604743
g63	g43	15.95458722931237
g43	g19	15.904375551548783
g12	g47	15.852518155819821
g46	g13	15.829497974243967
g13	g22	15.828068978994686
g48	g21	15.823416830775953
g18	g59	15.818142172836563
g47	g46	15.802529350421667
g46	g52	15.783368688384314
g36	g13	15.769641576365425
g17	g40	15.708808360021427
g31	g22	15.690670517713194
g64	g39	15.316647908305105
g17	g16	15.252158437036176
g20	g36	15.000704137799827
g18	g46	14.962765553162004
g22	g16	14.932135853670086
g55	g19	14.93156977798774
g31	g55	14.912202773787214
g30	g6	14.698546987296654
g1	g6	14.694347675460515
g50	g1	14.692841182259414
g40	g31	14.528855347086374
g18	g31	14.490134019564511
g13	g59	14.427843642736402
g36	g18	14.308437944980845
g8	g61	14.290584602476759
g39	g5	14.154155180284553
g18	g36	14.145135541720887
g31	g11	14.123091142049038
g5	g45	14.092322851617768
g3	g64	14.036605151381035
g41	g17	13.972541311627747
g47	g62	13.953847461105216
g39	g64	13.948659422601676
g50	g7	13.872750108053973
g12	g59	13.872280253953575
g12	g53	13.851250848164543
g19	g6	13.80256791654293
g43	g7	13.741892951397721
g63	g50	13.59436242330353
g31	g53	13.590652846206535
g40	g21	13.543692519849662
g12	g40	13.539352857407927
g5	g39	13.526221622928702
g10	g53	13.483816130745886
g9	g21	13.478518721269914
g14	g12	13.475266635801933
g47	g25	13.376723466307617
g14	g20	13.250145102343506
g13	g20	13.196950237391102
g63	g6	13.16903475365507
g20	g14	13.156870884102617
g13	g25	13.122944136578116
g18	g25	13.105532193585415
g43	g50	13.058599749613755
g22	g11	13.056631136649392
g43	g1	12.982555596106026
g20	g11	12.953154172040248
g50	g63	12.946666356324995
g46	g47	12.880972334549813
g1	g19	12.840761683244176
g11	g59	12.787274909044845
g50	g19	12.702740334726382
g18	g37	12.586835494392036
g47	g11	12.528391089278074
g55	g15	12.494860732905776
g40	g55	12.488497003777633
g24	g34	12.461129325869287
g6	g7	12.460123843414035
g40	g57	12.452075863750323
g11	g57	12.309635507877667
g40	g44	12.296878579179369
g61	g48	12.230349968741756
