Gene1	Gene2	EdgeWeight
g4	g57	0.302700892713424
g27	g15	0.300365240731119
g59	g20	0.294380355738859
g47	g41	0.29276767349607696
g37	g46	0.291588640781013
g41	g46	0.290381147323813
g1	g57	0.28783237347477897
g7	g42	0.28659549405505896
g63	g53	0.285468246441807
g21	g37	0.28241970725195503
g63	g11	0.282046975258225
g49	g57	0.281742200487329
g51	g38	0.28165270821858196
g19	g42	0.280625062230628
g17	g41	0.280577990583111
g43	g11	0.28022474754675997
g53	g37	0.279318285275327
g10	g53	0.277722118650214
g37	g41	0.277240909671524
g18	g41	0.277124390852912
g11	g47	0.276667066235161
g11	g46	0.275016037951615
g13	g18	0.272759289085737
g17	g46	0.272333472773224
g27	g53	0.272237478755072
g63	g13	0.27193251183350603
g59	g17	0.27180021267906895
g33	g44	0.270649232073886
g13	g47	0.26887831125426503
g25	g38	0.268822288714717
g13	g13	0.26787833594904004
g29	g20	0.26548805204795894
g16	g5	0.26514991510358105
g44	g37	0.26230757952753
g19	g53	0.2614973573025
g55	g37	0.25991382449900197
g18	g46	0.259198762519307
g18	g14	0.25895898376539106
g13	g41	0.25894766339671
g52	g42	0.258621875002292
g59	g18	0.25825413340572195
g21	g42	0.257823833260993
g53	g13	0.257090784657649
g63	g20	0.25697533670061895
g32	g41	0.256468865468586
g37	g14	0.254904536572594
g38	g46	0.250851064846416
g20	g14	0.250589697341048
g43	g13	0.249903275404868
g44	g51	0.24911247621096105
g36	g47	0.24897588008397
g25	g36	0.24865903382540602
g60	g25	0.247961457885369
g15	g17	0.24781803062446697
g35	g42	0.247343526531629
g7	g29	0.24544872418169603
g60	g20	0.24479703059663002
g63	g29	0.24414616361385996
g57	g20	0.24313333733271103
g55	g20	0.242045719217388
g20	g47	0.24153549619027
g7	g53	0.24044580065196897
g40	g25	0.23888295912699398
g55	g57	0.238868182575439
g40	g11	0.238387998824755
g62	g16	0.237701316557828
g38	g20	0.23576959974785602
g7	g11	0.23563606257951003
g9	g11	0.23523912934991603
g46	g14	0.233222979516666
g55	g13	0.232790303938474
g60	g17	0.23124137271278
g60	g47	0.23108472772621502
g33	g29	0.23106042625374001
g26	g57	0.230617706943202
g9	g57	0.229160451694413
g62	g25	0.228960218408238
g58	g42	0.22763943460292801
g13	g17	0.22688429144667105
g44	g13	0.22651488289618998
g42	g47	0.224929196440216
g17	g51	0.22351328644998103
g59	g13	0.22333265274867
g36	g14	0.22308662040809601
g43	g14	0.222627213297094
g19	g15	0.222612485245938
g58	g16	0.22251409134482897
g29	g46	0.22195347266535898
g43	g51	0.22095144483842202
g54	g44	0.219651944713101
g38	g36	0.219118603789474
g54	g53	0.21869091518709902
g43	g18	0.218668331813485
g43	g53	0.21809091060072
g20	g18	0.217502099297275
g42	g44	0.2160045089653
g55	g11	0.21506740520250897
g20	g29	0.214491923593443
g10	g11	0.214155637215309
g7	g15	0.21409092762454998
g8	g42	0.211698072051394
g43	g29	0.21156007481495998
g37	g13	0.21148563895132602
g23	g5	0.211296988783453
g29	g47	0.210924657898357
g8	g11	0.20830091525260103
g40	g37	0.20821717718686997
g47	g13	0.208161334012948
g44	g25	0.20804196373365802
g11	g29	0.20737762081650898
g42	g37	0.207197333100573
g59	g37	0.20713714747395498
g63	g18	0.206888714411631
g44	g38	0.206542067944759
g57	g37	0.202343630388268
g15	g42	0.19975439447898702
g26	g13	0.19853905115579798
g12	g51	0.19803748824614603
g63	g14	0.196287121490234
g51	g13	0.19613326168706
g32	g2	0.195864332617605
g40	g44	0.195237716264589
g57	g57	0.19367070753803398
g20	g51	0.193332064774767
g32	g46	0.19315577036746498
g31	g51	0.19308246108736898
g55	g18	0.192172956690786
g16	g46	0.19142860828234698
g21	g44	0.191250423483877
g55	g42	0.19108027983956502
g61	g42	0.19004556849112803
g14	g46	0.18988560368430105
