,P.Value,adj.P.Val,logFC,gene,lateral line
ENSDARG00000037790,0.169105648,0.999737975,-0.218479714,pvalb8,FALSE
ENSDARG00000003808,0.16987808,0.999737975,-0.993387686,aqp3a,FALSE
ENSDARG00000027966,0.171820802,0.999737975,-1.110648094,ap1s3b,FALSE
ENSDARG00000079632,0.172132022,0.999737975,-1.046210087,POLD4,FALSE
ENSDARG00000013078,0.174520446,0.999737975,0.764325762,ywhaba,FALSE
ENSDARG00000099667,0.175343204,0.999737975,0.766499479,snrpg,FALSE
ENSDARG00000040291,0.176555595,0.999737975,-0.822449561,cadm4,FALSE
ENSDARG00000069476,0.176885811,0.999737975,-0.717351141,spint2,FALSE
ENSDARG00000099664,0.177270796,0.999737975,0.936762661,15-Sep,FALSE
ENSDARG00000038068,0.177585095,0.999737975,-0.419361101,ddx5,FALSE
ENSDARG00000012747,0.179308296,0.999737975,1.110281901,rer1,TRUE
ENSDARG00000096721,0.179918298,0.999737975,-0.286803722,si:rp71-1c10.11,FALSE
ENSDARG00000038608,0.189103334,0.999737975,-0.93408183,sdhc,FALSE
ENSDARG00000027899,0.189642521,0.999737975,0.751043086,shfm1,FALSE
ENSDARG00000009484,0.190503783,0.999737975,0.97739948,arf1,FALSE
ENSDARG00000014915,0.190896344,0.999737975,1.042041729,ndufab1b,FALSE
ENSDARG00000002791,0.190959504,0.999737975,-0.983975883,atp1a1a.1,FALSE
ENSDARG00000045019,0.191415522,0.999737975,-1.144857105,aamp,FALSE
ENSDARG00000019353,0.19217052,0.999737975,-0.769506786,sparc,FALSE
ENSDARG00000025757,0.194911245,0.999737975,-0.924982386,tspan35,FALSE
ENSDARG00000009001,0.197891269,0.999737975,-0.793500513,pdia6,FALSE
ENSDARG00000036895,0.198515803,0.999737975,-0.706065113,dap1b,FALSE
ENSDARG00000056235,0.199743234,0.999737975,-1.009890225,smndc1,FALSE
ENSDARG00000043511,0.201695438,0.999737975,1.018858619,prdx6,FALSE
ENSDARG00000070657,0.20174084,0.999737975,-0.78382882,pa2g4b,FALSE
ENSDARG00000014571,0.205397274,0.999737975,0.847531416,ctnnb1,FALSE
ENSDARG00000011797,0.20586219,0.999737975,-0.576772423,fam46bb,FALSE
ENSDARG00000094673,0.207061741,0.999737975,-1.22542512,rhoab,FALSE
ENSDARG00000097753,0.207566655,0.999737975,0.920649659,slirp,FALSE
ENSDARG00000074390,0.211588236,0.999737975,-0.541809127,tmem176l.4,FALSE
ENSDARG00000055294,0.212034297,0.999737975,-0.649970946,atoh1a,TRUE
ENSDARG00000094846,0.212340821,0.999737975,-0.927496209,si:ch211-14a11.5,FALSE
ENSDARG00000029443,0.214805605,0.999737975,-1.019705224,zgc:92242,FALSE
ENSDARG00000043509,0.217276547,0.999737975,0.168961748,rpl11,FALSE
ENSDARG00000042319,0.217494138,0.999737975,-0.881958907,cdca4,FALSE
ENSDARG00000018898,0.218864885,0.999737975,1.228789517,zfand5a,FALSE
ENSDARG00000102015,0.220044522,0.999737975,-1.321377732,MSI1 (1 to many),FALSE
ENSDARG00000010878,0.220813197,0.999737975,-0.537955716,cdkn1ca,FALSE
ENSDARG00000020504,0.222350691,0.999737975,-0.410513405,h3f3a,FALSE
ENSDARG00000045132,0.223483972,0.999737975,-0.867314104,vdac1,FALSE
ENSDARG00000094965,0.224885047,0.999737975,-1.452376658,nfil3-5,FALSE
ENSDARG00000100952,0.228274927,0.999737975,0.651300554,wu:fj16a03,FALSE
