,P.Value,adj.P.Val,logFC,gene,lateral line
ENSDARG00000015059,0.971298089,0.999737975,-0.107125916,daam1a,FALSE
ENSDARG00000099973,0.971298089,0.999737975,-0.107125916,ctage5,FALSE
ENSDARG00000039661,0.971298089,0.999737975,-0.107125916,slc36a4,FALSE
ENSDARG00000060633,0.971298089,0.999737975,-0.107125916,usp16,FALSE
ENSDARG00000078784,0.971298089,0.999737975,-0.107125916,mgaa,FALSE
ENSDARG00000058692,0.971298089,0.999737975,-0.107125916,fzd3b,FALSE
ENSDARG00000058561,0.971298089,0.999737975,-0.107125916,fbxo30a,FALSE
ENSDARG00000040538,0.971298089,0.999737975,-0.107125916,spsb4b,FALSE
ENSDARG00000075898,0.971298089,0.999737975,-0.107125916,spata7,FALSE
ENSDARG00000079220,0.971298089,0.999737975,-0.107125916,wdr20a,FALSE
ENSDARG00000059760,0.971298089,0.999737975,-0.107125916,wdtc1,FALSE
ENSDARG00000035023,0.971298089,0.999737975,-0.107125916,kiaa0907,FALSE
ENSDARG00000015010,0.971298089,0.999737975,-0.107125916,ccdc114,FALSE
ENSDARG00000021891,0.971298089,0.999737975,-0.107125916,ZBTB7B,FALSE
ENSDARG00000059870,0.971298089,0.999737975,-0.107125916,clk2b,FALSE
ENSDARG00000005713,0.971298089,0.999737975,-0.107125916,ethe1,FALSE
ENSDARG00000069594,0.971298089,0.999737975,-0.107125916,kif13a,FALSE
ENSDARG00000025920,0.971298089,0.999737975,-0.107125916,tiam1b,FALSE
ENSDARG00000105258,0.971298089,0.999737975,-0.107125916,CEP72,FALSE
ENSDARG00000005425,0.971298089,0.999737975,-0.107125916,wdfy1,FALSE
ENSDARG00000067784,0.971298089,0.999737975,-0.107125916,SLC9A1,FALSE
ENSDARG00000087742,0.971298089,0.999737975,-0.107125916,map4k3a,FALSE
ENSDARG00000039851,0.971298089,0.999737975,-0.107125916,dhdds,FALSE
ENSDARG00000074004,0.971298089,0.999737975,-0.107125916,stac,FALSE
ENSDARG00000105322,0.971298089,0.999737975,-0.107125916,klhdc7a,FALSE
ENSDARG00000098711,0.971298089,0.999737975,-0.107125916,si:ch1073-425j19.2,FALSE
ENSDARG00000017673,0.971298089,0.999737975,-0.107125916,nova2,FALSE
ENSDARG00000097685,0.971298089,0.999737975,-0.107125916,si:ch211-235i11.3,FALSE
ENSDARG00000097191,0.971298089,0.999737975,-0.107125916,si:ch211-235i11.7,FALSE
ENSDARG00000055620,0.971298089,0.999737975,-0.107125916,acad9,FALSE
ENSDARG00000040492,0.971298089,0.999737975,-0.107125916,mthfd1b,FALSE
ENSDARG00000100056,0.971298089,0.999737975,-0.107125916,SCAF8,FALSE
ENSDARG00000052390,0.971298089,0.999737975,-0.107125916,tmed8,FALSE
ENSDARG00000044098,0.971298089,0.999737975,-0.107125916,egr2a,FALSE
ENSDARG00000053544,0.971298089,0.999737975,-0.107125916,hspa4l,FALSE
ENSDARG00000004576,0.971298089,0.999737975,-0.107125916,plk4,FALSE
ENSDARG00000070583,0.971298089,0.999737975,-0.107125916,itpk1b,FALSE
ENSDARG00000034160,0.971298089,0.999737975,-0.107125916,slc4a1ap,FALSE
ENSDARG00000013461,0.971298089,0.999737975,-0.107125916,supt7l,FALSE
ENSDARG00000086849,0.971298089,0.999737975,-0.107125916,si:dkey-187k19.2,FALSE
ENSDARG00000060564,0.971298089,0.999737975,-0.107125916,slc25a21,FALSE
ENSDARG00000053835,0.971298089,0.999737975,-0.107125916,plekhh1,FALSE
ENSDARG00000105448,0.971298089,0.999737975,-0.107125916,mirlet7f,FALSE
ENSDARG00000055252,0.971298089,0.999737975,-0.107125916,snap23.2,FALSE
ENSDARG00000055133,0.971298089,0.999737975,-0.107125916,cenpf,FALSE
ENSDARG00000075444,0.971298089,0.999737975,-0.107125916,cgref1,FALSE
ENSDARG00000097372,0.971298089,0.999737975,-0.107125916,si:ch211-139d20.3,FALSE
ENSDARG00000061294,0.971298089,0.999737975,-0.107125916,arhgap5,FALSE
ENSDARG00000036775,0.971298089,0.999737975,-0.107125916,dtd2,FALSE
ENSDARG00000097157,0.971298089,0.999737975,-0.107125916,si:ch211-207n23.2,FALSE
ENSDARG00000060992,0.971298089,0.999737975,-0.107125916,rpusd2,FALSE
ENSDARG00000054414,0.971298089,0.999737975,-0.107125916,spata17,FALSE
ENSDARG00000071560,0.971298089,0.999737975,-0.107125916,dlx4b,FALSE
ENSDARG00000044803,0.971298089,0.999737975,-0.107125916,dhrs3b,FALSE
ENSDARG00000089507,0.971298089,0.999737975,-0.107125916,ugt1b5,FALSE
ENSDARG00000026149,0.971298089,0.999737975,-0.107125916,slc46a1,FALSE
ENSDARG00000019717,0.971298089,0.999737975,-0.107125916,pbx2,FALSE
ENSDARG00000099978,0.971298089,0.999737975,-0.107125916,GLCCI1 (1 to many),FALSE
ENSDARG00000103542,0.971298089,0.999737975,-0.107125916,vegfaa,FALSE
ENSDARG00000055162,0.971298089,0.999737975,-0.107125916,zhx2,FALSE
ENSDARG00000026178,0.971298089,0.999737975,-0.107125916,ube3d,FALSE
ENSDARG00000094894,0.971298089,0.999737975,-0.107125916,tyrobp,FALSE
ENSDARG00000037186,0.971298089,0.999737975,-0.107125916,tpbgb,FALSE
ENSDARG00000097789,0.971298089,0.999737975,-0.107125916,zgc:174637,FALSE
ENSDARG00000015158,0.971298089,0.999737975,-0.107125916,slc50a1,FALSE
ENSDARG00000103037,0.971298089,0.999737975,-0.107125916,CR848788.1,FALSE
ENSDARG00000075437,0.971298089,0.999737975,-0.107125916,shc1,FALSE
ENSDARG00000029356,0.971298089,0.999737975,-0.107125916,mboat1,FALSE
ENSDARG00000078387,0.971298089,0.999737975,-0.107125916,si:dkey-92i15.4,FALSE
ENSDARG00000070795,0.971298089,0.999737975,-0.107125916,eaf1,FALSE
ENSDARG00000095946,0.971298089,0.999737975,-0.107125916,si:ch73-341k19.1,FALSE
ENSDARG00000079271,0.971298089,0.999737975,-0.107125916,dcxr,FALSE
ENSDARG00000040482,0.971298089,0.999737975,-0.107125916,osbpl3b,FALSE
ENSDARG00000040695,0.971298089,0.999737975,-0.107125916,fkbp14,FALSE
ENSDARG00000061904,0.971298089,0.999737975,-0.107125916,fhod3b,FALSE
ENSDARG00000061621,0.971298089,0.999737975,-0.107125916,them4,FALSE
ENSDARG00000043301,0.971298089,0.999737975,-0.107125916,gtf3c6,FALSE
ENSDARG00000043457,0.971298089,0.999737975,-0.107125916,gapdh,FALSE
ENSDARG00000018569,0.971298089,0.999737975,-0.107125916,tnfrsf1a,FALSE
ENSDARG00000073732,0.971298089,0.999737975,-0.107125916,myh14,FALSE
ENSDARG00000062244,0.971298089,0.999737975,-0.107125916,setd2,FALSE
ENSDARG00000041729,0.971298089,0.999737975,-0.107125916,sntb1,FALSE
ENSDARG00000045249,0.971298089,0.999737975,-0.107125916,nif3l1,FALSE
ENSDARG00000020371,0.971298089,0.999737975,-0.107125916,g6pc3,FALSE
ENSDARG00000088741,0.971298089,0.999737975,-0.107125916,si:dkey-19n13.5,FALSE
ENSDARG00000062390,0.971298089,0.999737975,-0.107125916,cdc42ep5,FALSE
ENSDARG00000076981,0.971298089,0.999737975,-0.107125916,zgc:198329,FALSE
ENSDARG00000067668,0.971298089,0.999737975,-0.107125916,CEP57,FALSE
ENSDARG00000103155,0.971298089,0.999737975,-0.107125916,ext1a,FALSE
ENSDARG00000070399,0.971298089,0.999737975,-0.107125916,alg2,FALSE
ENSDARG00000093760,0.971298089,0.999737975,-0.107125916,si:ch211-197h24.9,FALSE
ENSDARG00000087378,0.971298089,0.999737975,-0.107125916,zgc:162962,FALSE
ENSDARG00000017220,0.971298089,0.999737975,-0.107125916,otud7b,FALSE
ENSDARG00000027609,0.971298089,0.999737975,-0.107125916,HPN,FALSE
ENSDARG00000097752,0.971298089,0.999737975,-0.107125916,si:rp71-77l1.2,FALSE
ENSDARG00000011333,0.971298089,0.999737975,-0.107125916,arhgap33,FALSE
ENSDARG00000101606,0.971298089,0.999737975,-0.107125916,rims2a,FALSE
ENSDARG00000097750,0.971298089,0.999737975,-0.107125916,si:dkey-181d19.6,FALSE
ENSDARG00000073952,0.971298089,0.999737975,-0.107125916,slc4a7,FALSE
ENSDARG00000021033,0.971298089,0.999737975,-0.107125916,herpud2,FALSE
ENSDARG00000099903,0.971298089,0.999737975,-0.107125916,si:ch211-193l2.10,TRUE
ENSDARG00000097581,0.971298089,0.999737975,-0.107125916,si:ch211-11i5.3,FALSE
ENSDARG00000060197,0.971298089,0.999737975,-0.107125916,atp2c1,FALSE
ENSDARG00000097237,0.971298089,0.999737975,-0.107125916,si:dkey-11p23.13,FALSE
ENSDARG00000099430,0.971298089,0.999737975,-0.107125916,atg16l1,FALSE
ENSDARG00000075149,0.971298089,0.999737975,-0.107125916,nagpa,FALSE
ENSDARG00000102305,0.971298089,0.999737975,-0.107125916,svbp,FALSE
ENSDARG00000040111,0.971298089,0.999737975,-0.107125916,pi4kb,FALSE
ENSDARG00000087369,0.971298089,0.999737975,-0.107125916,cep162,FALSE
ENSDARG00000045947,0.971298089,0.999737975,-0.107125916,HRC,FALSE
ENSDARG00000101888,0.971298089,0.999737975,-0.107125916,OSCP1,FALSE
ENSDARG00000098386,0.971298089,0.999737975,-0.107125916,ctps1b,FALSE
ENSDARG00000101081,0.971298089,0.999737975,-0.107125916,ptprub,FALSE
ENSDARG00000069829,0.971298089,0.999737975,-0.107125916,rragca,FALSE
ENSDARG00000035808,0.971298089,0.999737975,-0.107125916,clcn4,FALSE
ENSDARG00000074947,0.971298089,0.999737975,-0.107125916,fam26e.1,FALSE
ENSDARG00000040159,0.971298089,0.999737975,-0.107125916,wnt4b,FALSE
ENSDARG00000040186,0.971298089,0.999737975,-0.107125916,fam210a,FALSE
ENSDARG00000100011,0.971298089,0.999737975,-0.107125916,strn,FALSE
ENSDARG00000088567,0.971298089,0.999737975,-0.107125916,VPS72 (1 to many),FALSE
ENSDARG00000006869,0.971298089,0.999737975,-0.107125916,stx17,FALSE
ENSDARG00000017595,0.971298089,0.999737975,-0.107125916,ccdc6b,FALSE
ENSDARG00000104637,0.971298089,0.999737975,-0.107125916,fam219b,FALSE
ENSDARG00000096818,0.971298089,0.999737975,-0.107125916,zgc:136683,FALSE
ENSDARG00000045006,0.971298089,0.999737975,-0.107125916,ptprga,FALSE
ENSDARG00000101115,0.971298089,0.999737975,-0.107125916,med30,FALSE
ENSDARG00000104861,0.971298089,0.999737975,-0.107125916,rprd1a,FALSE
ENSDARG00000102902,0.971298089,0.999737975,-0.107125916,STRN4,FALSE
ENSDARG00000025559,0.971298089,0.999737975,-0.107125916,pex11g,FALSE
ENSDARG00000100969,0.971298089,0.999737975,-0.107125916,tmprss13a,FALSE
ENSDARG00000060830,0.971298089,0.999737975,-0.107125916,fam83hb,FALSE
ENSDARG00000020345,0.971298089,0.999737975,-0.107125916,clasp2,FALSE
ENSDARG00000012135,0.971298089,0.999737975,-0.107125916,fbxl2,FALSE
ENSDARG00000061365,0.971298089,0.999737975,-0.107125916,hepacam2,FALSE
ENSDARG00000070403,0.971298089,0.999737975,-0.107125916,wdyhv1,FALSE
ENSDARG00000098753,0.971298089,0.999737975,-0.107125916,elmo1,FALSE
ENSDARG00000098904,0.971298089,0.999737975,-0.107125916,pex1,FALSE
ENSDARG00000099814,0.971298089,0.999737975,-0.107125916,FBXO46,FALSE
ENSDARG00000102736,0.971298089,0.999737975,-0.107125916,sars2,FALSE
ENSDARG00000018397,0.971298089,0.999737975,-0.107125916,hpca,FALSE
ENSDARG00000061718,0.971298089,0.999737975,-0.107125916,znf704,FALSE
ENSDARG00000069823,0.971298089,0.999737975,-0.107125916,proca1,FALSE
ENSDARG00000090675,0.971298089,0.999737975,-0.107125916,APBA3,FALSE
ENSDARG00000035918,0.971298089,0.999737975,-0.107125916,bzw2,FALSE
ENSDARG00000069790,0.971298089,0.999737975,-0.107125916,dynll2a,FALSE
ENSDARG00000007136,0.971298089,0.999737975,-0.107125916,sh3bp5lb,FALSE
ENSDARG00000076008,0.971298089,0.999737975,-0.107125916,si:dkey-119m17.2,FALSE
ENSDARG00000039996,0.971298089,0.999737975,-0.107125916,xkr8.3,FALSE
ENSDARG00000070705,0.971298089,0.999737975,-0.107125916,zgc:64022,FALSE
ENSDARG00000102035,0.971298089,0.999737975,-0.107125916,SLC52A2,FALSE
ENSDARG00000079742,0.971298089,0.999737975,-0.107125916,mcf2l2,FALSE
ENSDARG00000062695,0.971298089,0.999737975,-0.107125916,ccdc126,FALSE
ENSDARG00000098798,0.971298089,0.999737975,-0.107125916,si:dkey-25e11.10,FALSE
ENSDARG00000015482,0.971298089,0.999737975,-0.107125916,zgc:113518,FALSE
ENSDARG00000102906,0.971298089,0.999737975,-0.107125916,hibadha,FALSE
ENSDARG00000097118,0.971298089,0.999737975,-0.107125916,si:dkey-33c14.3,FALSE
ENSDARG00000097391,0.971298089,0.999737975,-0.107125916,si:dkey-33c14.7,FALSE
ENSDARG00000061908,0.971298089,0.999737975,-0.107125916,mfsd12a,FALSE
ENSDARG00000011373,0.971298089,0.999737975,-0.107125916,mknk2a,FALSE
ENSDARG00000079352,0.971298089,0.999737975,-0.107125916,sap130b,FALSE
ENSDARG00000102630,0.971298089,0.999737975,-0.107125916,zgc:56628,FALSE
ENSDARG00000100157,0.971298089,0.999737975,-0.107125916,tamm41,FALSE
ENSDARG00000070939,0.971298089,0.999737975,-0.107125916,znf740a,FALSE
ENSDARG00000015901,0.971298089,0.999737975,-0.107125916,ptbp2b,FALSE
ENSDARG00000091652,0.971298089,0.999737975,-0.107125916,xrn1,FALSE
ENSDARG00000094988,0.971298089,0.999737975,-0.107125916,si:dkeyp-13a3.6,FALSE
ENSDARG00000055569,0.971298089,0.999737975,-0.107125916,ghdc,FALSE
ENSDARG00000104631,0.971298089,0.999737975,-0.107125916,RNF14 (1 to many),FALSE
ENSDARG00000024744,0.971298089,0.999737975,-0.107125916,dpp6b,FALSE
ENSDARG00000089225,0.971298089,0.999737975,-0.107125916,trove2,FALSE
ENSDARG00000030108,0.971298089,0.999737975,-0.107125916,sec22ba,FALSE
ENSDARG00000062991,0.971298089,0.999737975,-0.107125916,abi1b,FALSE
ENSDARG00000017860,0.971298089,0.999737975,-0.107125916,rgs5b,FALSE
ENSDARG00000042825,0.971298089,0.999737975,-0.107125916,rnf169,FALSE
ENSDARG00000099240,0.971298089,0.999737975,-0.107125916,acap3b,FALSE
ENSDARG00000104409,0.971298089,0.999737975,-0.107125916,tnk2b,FALSE
ENSDARG00000063437,0.971298089,0.999737975,-0.107125916,wnt9a,FALSE
ENSDARG00000096597,0.971298089,0.999737975,-0.107125916,ATP5SL,FALSE
ENSDARG00000069649,0.971298089,0.999737975,-0.107125916,tmem160,FALSE
ENSDARG00000058993,0.971298089,0.999737975,-0.107125916,rock1,FALSE
ENSDARG00000057321,0.971298089,0.999737975,-0.107125916,tut1,FALSE
ENSDARG00000059125,0.971298089,0.999737975,-0.107125916,prkacbb,FALSE
ENSDARG00000075899,0.971298089,0.999737975,-0.107125916,adgrl2b.1,FALSE
ENSDARG00000060725,0.971298089,0.999737975,-0.107125916,dnajc16l,FALSE
ENSDARG00000037883,0.971298089,0.999737975,-0.107125916,prcp,FALSE
ENSDARG00000037884,0.971298089,0.999737975,-0.107125916,rab30,FALSE
ENSDARG00000076995,0.971298089,0.999737975,-0.107125916,sharpin,FALSE
ENSDARG00000098317,0.971298089,0.999737975,-0.107125916,dync1li1,FALSE
ENSDARG00000098623,0.971298089,0.999737975,-0.107125916,HYLS1,FALSE
ENSDARG00000096249,0.971298089,0.999737975,-0.107125916,ap1m1,FALSE
ENSDARG00000002037,0.971298089,0.999737975,-0.107125916,pfkfb2b,FALSE
ENSDARG00000062269,0.971298089,0.999737975,-0.107125916,fan1,FALSE
ENSDARG00000041068,0.971298089,0.999737975,-0.107125916,got2a,FALSE
ENSDARG00000041085,0.971298089,0.999737975,-0.107125916,arpin,FALSE
ENSDARG00000022160,0.971298089,0.999737975,-0.107125916,ttc23,FALSE
ENSDARG00000037196,0.971298089,0.999737975,-0.107125916,ARID5B,FALSE
ENSDARG00000062476,0.971298089,0.999737975,-0.107125916,snapc5,FALSE
ENSDARG00000004537,0.971298089,0.999737975,-0.107125916,kmt2a,FALSE
ENSDARG00000034001,0.971298089,0.999737975,-0.107125916,tango6,FALSE
ENSDARG00000078068,0.971298089,0.999737975,-0.107125916,abcg4b,FALSE
ENSDARG00000070606,0.971298089,0.999737975,-0.107125916,ikbke,FALSE
ENSDARG00000101630,0.971298089,0.999737975,-0.107125916,si:dkey-8l13.5,FALSE
ENSDARG00000024966,0.971298089,0.999737975,-0.107125916,MARK4 (1 to many),FALSE
ENSDARG00000057767,0.971298089,0.999737975,-0.107125916,nudt4a,FALSE
ENSDARG00000100057,0.971298089,0.999737975,-0.107125916,ppfibp1b,FALSE
ENSDARG00000032161,0.971298089,0.999737975,-0.107125916,srgap2,FALSE
ENSDARG00000042518,0.971298089,0.999737975,-0.107125916,hipk2,FALSE
ENSDARG00000021979,0.971298089,0.999737975,-0.107125916,mical3a,FALSE
ENSDARG00000058306,0.971298089,0.999737975,-0.107125916,prpf18,FALSE
ENSDARG00000075745,0.971298089,0.999737975,-0.107125916,ovgp1,FALSE
ENSDARG00000099925,0.971298089,0.999737975,-0.107125916,si:dkey-27b23.3,FALSE
ENSDARG00000094719,0.971298089,0.999737975,-0.107125916,si:dkeyp-1h4.9,FALSE
ENSDARG00000088178,0.971298089,0.999737975,-0.107125916,tp53inp2,FALSE
ENSDARG00000076451,0.971298089,0.999737975,-0.107125916,prdm2b,FALSE
ENSDARG00000093117,0.971298089,0.999737975,-0.107125916,si:dkey-266m15.7,FALSE
ENSDARG00000058939,0.971298089,0.999737975,-0.107125916,b4galnt3b,FALSE
ENSDARG00000011072,0.971298089,0.999737975,-0.107125916,ddx11,FALSE
ENSDARG00000073944,0.971298089,0.999737975,-0.107125916,si:ch73-386h18.1,FALSE
ENSDARG00000055648,0.971298089,0.999737975,-0.107125916,cpda,FALSE
ENSDARG00000093518,0.971298089,0.999737975,-0.107125916,si:ch73-186j5.4,FALSE
ENSDARG00000062178,0.971298089,0.999737975,-0.107125916,fam65a,FALSE
ENSDARG00000016676,0.971298089,0.999737975,-0.107125916,gnao1a,FALSE
ENSDARG00000003994,0.971298089,0.999737975,-0.107125916,syt9a,FALSE
ENSDARG00000100630,0.971298089,0.999737975,-0.107125916,lye,FALSE
ENSDARG00000018973,0.971298089,0.999737975,-0.107125916,clptm1,FALSE
ENSDARG00000076763,0.971298089,0.999737975,-0.107125916,sp2,FALSE
ENSDARG00000019842,0.971298089,0.999737975,-0.107125916,cnot3b,FALSE
ENSDARG00000034668,0.971298089,0.999737975,-0.107125916,celf3a,FALSE
ENSDARG00000063252,0.971298089,0.999737975,-0.107125916,prcc,FALSE
ENSDARG00000007943,0.971298089,0.999737975,-0.107125916,gabpb2a,FALSE
ENSDARG00000041586,0.971298089,0.999737975,-0.107125916,dhx40,FALSE
ENSDARG00000078954,0.971298089,0.999737975,-0.107125916,rxrba,FALSE
ENSDARG00000079931,0.971298089,0.999737975,-0.107125916,snx19b,FALSE
ENSDARG00000077785,0.971298089,0.999737975,-0.107125916,atf5b,FALSE
ENSDARG00000100639,0.971298089,0.999737975,-0.107125916,si:ch211-262i1.2,FALSE
ENSDARG00000008818,0.971298089,0.999737975,-0.107125916,hsf1,FALSE
ENSDARG00000026762,0.971298089,0.999737975,-0.107125916,fam126a,FALSE
ENSDARG00000076972,0.971298089,0.999737975,-0.107125916,si:dkey-208k22.3,FALSE
ENSDARG00000011870,0.971298089,0.999737975,-0.107125916,sp8a,FALSE
ENSDARG00000096837,0.971298089,0.999737975,-0.107125916,si:dkey-167o9.3,FALSE
ENSDARG00000021462,0.971298089,0.999737975,-0.107125916,daw1,TRUE
ENSDARG00000019797,0.971298089,0.999737975,-0.107125916,qrich1,FALSE
ENSDARG00000004492,0.971298089,0.999737975,-0.107125916,pcyt1ab,FALSE
ENSDARG00000061168,0.971298089,0.999737975,-0.107125916,dhx34,FALSE
ENSDARG00000040396,0.971298089,0.999737975,-0.107125916,bcl7bb,FALSE
ENSDARG00000068374,0.971298089,0.999737975,-0.107125916,si:ch211-132b12.7,FALSE
ENSDARG00000093591,0.971298089,0.999737975,-0.107125916,si:ch211-282k23.2,FALSE
ENSDARG00000091293,0.971298089,0.999737975,-0.107125916,dmxl2,TRUE
ENSDARG00000068398,0.971298089,0.999737975,-0.107125916,cep126,FALSE
ENSDARG00000068208,0.971298089,0.999737975,-0.107125916,def8,FALSE
ENSDARG00000056835,0.971298089,0.999737975,-0.107125916,laynb,FALSE
ENSDARG00000007976,0.971298089,0.999737975,-0.107125916,si:ch211-220f16.2,FALSE
ENSDARG00000092489,0.971298089,0.999737975,-0.107125916,si:ch73-103b9.2,FALSE
ENSDARG00000087346,0.971298089,0.999737975,-0.107125916,rap1ab,FALSE
ENSDARG00000021885,0.971298089,0.999737975,-0.107125916,CACUL1,FALSE
ENSDARG00000041041,0.971298089,0.999737975,-0.107125916,cxcr3.2,FALSE
ENSDARG00000061020,0.971298089,0.999737975,-0.107125916,ccdc186,FALSE
ENSDARG00000030114,0.971298089,0.999737975,-0.107125916,vps4a,FALSE
ENSDARG00000000935,0.971298089,0.999737975,-0.107125916,unk,FALSE
ENSDARG00000012763,0.971298089,0.999737975,-0.107125916,arl13b,TRUE
ENSDARG00000003822,0.971298089,0.999737975,-0.107125916,ankrd16,FALSE
ENSDARG00000061345,0.971298089,0.999737975,-0.107125916,wwp2,FALSE
ENSDARG00000060471,0.971298089,0.999737975,-0.107125916,gcnt3,FALSE
ENSDARG00000008487,0.971298089,0.999737975,-0.107125916,dmd,FALSE
ENSDARG00000005541,0.971298089,0.999737975,-0.107125916,wif1,FALSE
ENSDARG00000093646,0.971298089,0.999737975,-0.107125916,si:ch211-270n8.3,FALSE
ENSDARG00000094646,0.971298089,0.999737975,-0.107125916,dyrk2,FALSE
ENSDARG00000060383,0.971298089,0.999737975,-0.107125916,mmaa,FALSE
ENSDARG00000003971,0.971298089,0.999737975,-0.107125916,isl2a,FALSE
ENSDARG00000078326,0.971298089,0.999737975,-0.107125916,arhgap10,FALSE
ENSDARG00000045675,0.971298089,0.999737975,-0.107125916,mdm1,FALSE
ENSDARG00000086259,0.971298089,0.999737975,-0.107125916,si:dkey-234l24.9,FALSE
ENSDARG00000079080,0.971298089,0.999737975,-0.107125916,mettl20,FALSE
ENSDARG00000019418,0.971298089,0.999737975,-0.107125916,kcnj2a,FALSE
ENSDARG00000056206,0.971298089,0.999737975,-0.107125916,camk2g2,FALSE
ENSDARG00000062019,0.971298089,0.999737975,-0.107125916,rufy2,FALSE
ENSDARG00000091728,0.971298089,0.999737975,-0.107125916,HIST1H2BA (1 to many),FALSE
ENSDARG00000087854,0.971298089,0.999737975,-0.107125916,si:dkey-108k21.13,FALSE
ENSDARG00000062968,0.971298089,0.999737975,-0.107125916,sbf1,FALSE
ENSDARG00000012073,0.971298089,0.999737975,-0.107125916,kif15,FALSE
ENSDARG00000098397,0.971298089,0.999737975,-0.107125916,si:ch73-59f11.2,FALSE
ENSDARG00000098540,0.971298089,0.999737975,-0.107125916,ZC3H7B (1 to many),FALSE
ENSDARG00000097353,0.971298089,0.999737975,-0.107125916,si:dkey-14d8.21,FALSE
ENSDARG00000034700,0.971298089,0.999737975,-0.107125916,vegfab,FALSE
ENSDARG00000102009,0.971298089,0.999737975,-0.107125916,ppp2r2d,FALSE
ENSDARG00000091640,0.971298089,0.999737975,-0.107125916,si:ch73-352p4.5,FALSE
ENSDARG00000088078,0.971298089,0.999737975,-0.107125916,usp18,FALSE
ENSDARG00000098105,0.971298089,0.999737975,-0.107125916,tmem106c,FALSE
ENSDARG00000086645,0.971298089,0.999737975,-0.107125916,hs3st3b1b,FALSE
ENSDARG00000004594,0.971298089,0.999737975,-0.107125916,znf800a,FALSE
ENSDARG00000006758,0.971298089,0.999737975,-0.107125916,fam234b,FALSE
ENSDARG00000057248,0.971298089,0.999737975,-0.107125916,sclt1,FALSE
ENSDARG00000068701,0.971298089,0.999737975,-0.107125916,gpr85,FALSE
ENSDARG00000093557,0.971298089,0.999737975,-0.107125916,si:ch211-281k12.4,FALSE
ENSDARG00000033179,0.971298089,0.999737975,-0.107125916,tmem243b,FALSE
ENSDARG00000039613,0.971298089,0.999737975,-0.107125916,poll,FALSE
ENSDARG00000020876,0.971298089,0.999737975,-0.107125916,pdk2a,FALSE
ENSDARG00000102276,0.971298089,0.999737975,-0.107125916,CR391944.1,FALSE
ENSDARG00000097652,0.971298089,0.999737975,-0.107125916,si:dkey-234i14.2,FALSE
ENSDARG00000067796,0.971298089,0.999737975,-0.107125916,clpxb,FALSE
ENSDARG00000056381,0.971298089,0.999737975,-0.107125916,cfap97,FALSE
ENSDARG00000077090,0.971298089,0.999737975,-0.107125916,PLXNB2 (1 to many),FALSE
ENSDARG00000061591,0.971298089,0.999737975,-0.107125916,abcb10,FALSE
ENSDARG00000061986,0.971298089,0.999737975,-0.107125916,tbc1d2b,FALSE
ENSDARG00000034173,0.971298089,0.999737975,-0.107125916,prkcq,FALSE
ENSDARG00000045525,0.971298089,0.999737975,-0.107125916,tmcc3,FALSE
ENSDARG00000007654,0.971298089,0.999737975,-0.107125916,nsfa,FALSE
ENSDARG00000069529,0.971298089,0.999737975,-0.107125916,zgc:153981,FALSE
ENSDARG00000096725,0.971298089,0.999737975,-0.107125916,si:dkey-21c1.1,FALSE
ENSDARG00000055429,0.971298089,0.999737975,-0.107125916,kat6b,FALSE
ENSDARG00000069595,0.971298089,0.999737975,-0.107125916,si:ch211-214c7.4,FALSE
ENSDARG00000062401,0.971298089,0.999737975,-0.107125916,znf319,FALSE
ENSDARG00000076272,0.971298089,0.999737975,-0.107125916,znf1041,FALSE
ENSDARG00000034443,0.971298089,0.999737975,-0.107125916,mpped2,FALSE
ENSDARG00000020475,0.971298089,0.999737975,-0.107125916,znrf1,FALSE
ENSDARG00000101395,0.971298089,0.999737975,-0.107125916,CR388132.1,FALSE
ENSDARG00000063101,0.971298089,0.999737975,-0.107125916,man2a2,FALSE
ENSDARG00000104741,0.971298089,0.999737975,-0.107125916,zgc:173619,FALSE
ENSDARG00000096186,0.971298089,0.999737975,-0.107125916,si:dkey-247i3.5,FALSE
ENSDARG00000076252,0.971298089,0.999737975,-0.107125916,si:dkey-247i3.1,FALSE
ENSDARG00000086182,0.971298089,0.999737975,-0.107125916,znf985,FALSE
ENSDARG00000019845,0.971298089,0.999737975,-0.107125916,pdlim1,FALSE
ENSDARG00000061352,0.971298089,0.999737975,-0.107125916,bcl11aa,FALSE
ENSDARG00000036985,0.971298089,0.999737975,-0.107125916,plxnb2b,FALSE
ENSDARG00000071406,0.971298089,0.999737975,-0.107125916,enthd2,FALSE
ENSDARG00000102856,0.971298089,0.999737975,-0.107125916,si:ch73-59f11.3,FALSE
ENSDARG00000096594,0.971298089,0.999737975,-0.107125916,lratb,FALSE
ENSDARG00000045486,0.971298089,0.999737975,-0.107125916,pawr,FALSE
ENSDARG00000006215,0.971298089,0.999737975,-0.107125916,akr1b1,FALSE
ENSDARG00000000018,0.971298089,0.999737975,-0.107125916,nrf1,FALSE
ENSDARG00000040085,0.971298089,0.999737975,-0.107125916,ccsapb,FALSE
ENSDARG00000092097,0.971298089,0.999737975,-0.107125916,si:ch211-285d14.4,FALSE
ENSDARG00000051879,0.971298089,0.999737975,-0.107125916,abcc8,FALSE
ENSDARG00000062142,0.971298089,0.999737975,-0.107125916,stoml1,FALSE
ENSDARG00000016089,0.971298089,0.999737975,-0.107125916,gltscr1l,FALSE
ENSDARG00000097406,0.971298089,0.999737975,-0.107125916,si:dkey-81e3.2,FALSE
